Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Ajuricaba,Ajuricaba,,0,2,0,2,2,0,2,0,0,0,0,3
Sacramento Colony,Sacramento Colony,,0,2,0,2,2,0,2,0,0,0,0,3
Central Zone Of São Paulo,Central Zone Of São Paulo,,0,2,0,2,2,0,2,0,0,0,0,5
Masair,Masair,,0,2,0,2,2,0,2,0,0,0,0,4
"Cristal, Rio Grande Do Sul","Cristal, Rio Grande Do Sul",,0,2,0,2,2,0,2,0,0,0,0,3
Espumoso,Espumoso,,0,2,0,2,2,0,2,0,0,0,0,3
Canoas,Canoas,,0,2,0,2,2,0,2,0,0,0,0,3
Condor Flugdienst,Condor Flugdienst,,0,2,0,2,2,0,2,0,0,0,0,4
Corporate Law In Vietnam,Corporate Law In Vietnam,,0,2,0,2,2,0,2,0,0,0,0,1
Barretos,Barretos,,0,2,0,2,2,0,2,0,0,0,0,2
Iso 3166,Iso 3166,,0,2,0,2,2,0,2,0,0,0,0,0
Dom Pedrito,Dom Pedrito,,0,2,0,2,2,0,2,0,0,0,0,3
Tca – Transportes Carga Aérea,Tca – Transportes Carga Aérea,,0,2,0,2,2,0,2,0,0,0,0,4
Georgia (U.S. State),Georgia (U.S. State),,0,2,0,2,2,0,2,0,0,0,0,0
Bangkok Airways,Bangkok Airways,,0,2,0,2,2,0,2,0,0,0,0,4
Aerovias Brasil,Aerovias Brasil,,0,2,0,2,2,0,2,0,0,0,0,4
Governance Of Brazil,Governance Of Brazil,,0,7,0,7,7,0,7,0,0,0,0,0
"Jari, Rio Grande Do Sul","Jari, Rio Grande Do Sul",,0,2,0,2,2,0,2,0,0,0,0,3
Oxford University Press,Oxford University Press,,0,5,0,5,5,0,5,0,0,0,0,0
Brazilian Science Fiction,Brazilian Science Fiction,,0,7,0,7,7,0,7,0,0,0,0,0
Museum Of The Portuguese Language,Museum Of The Portuguese Language,,0,4,0,4,4,0,4,0,0,0,0,0
Brasilia,Brasilia,,0,3,0,3,3,0,3,0,0,0,0,0
Canadian French,Canadian French,,0,2,0,2,2,0,2,0,0,0,0,1
Haiti,Haiti,,0,2,0,2,2,0,2,0,0,0,0,1
Series Llc,Series Llc,,0,2,0,2,2,0,2,0,0,0,0,1
Cape Verde,Cape Verde,,0,3,0,3,3,0,3,0,0,0,0,0
Metalúrgica Gerdau,Metalúrgica Gerdau,,0,52,151,203,52,151,203,3,0.514183,0.531232,0.00061,2
Redentora,Redentora,,0,2,0,2,2,0,2,0,0,0,0,3
Barra Funda,Barra Funda,,0,2,0,2,2,0,2,0,0,0,0,3
Passo Fundo,Passo Fundo,,0,2,0,2,2,0,2,0,0,0,0,3
Dois Irmãos,Dois Irmãos,,0,2,0,2,2,0,2,0,0,0,0,3
"Vila Maria, Rio Grande Do Sul","Vila Maria, Rio Grande Do Sul",,0,2,0,2,2,0,2,0,0,0,0,3
São Pedro Do Butiá,São Pedro Do Butiá,,0,2,0,2,2,0,2,0,0,0,0,3
Alegrete,Alegrete,,0,2,0,2,2,0,2,0,0,0,0,3
Indonesia Stock Exchange,Indonesia Stock Exchange,,0,3,0,3,3,0,3,0,0,0,0,5
Television In Brazil,Television In Brazil,,0,7,0,7,7,0,7,0,0,0,0,0
Luxair,Luxair,,0,2,0,2,2,0,2,0,0,0,0,4
Progressistas,Progressistas,,0,2,0,2,2,0,2,0,0,0,0,0
Cityjet,Cityjet,,0,2,0,2,2,0,2,0,0,0,0,4
Tuparendi,Tuparendi,,0,2,0,2,2,0,2,0,0,0,0,3
Barra Do Rio Azul,Barra Do Rio Azul,,0,2,0,2,2,0,2,0,0,0,0,3
Polish Brazilian,Polish Brazilian,,0,3,0,3,3,0,3,0,0,0,0,0
Egyptair,Egyptair,,0,2,0,2,2,0,2,0,0,0,0,4
Luiz Inácio Lula Da Silva,Luiz Inácio Lula Da Silva,,0,2,0,2,2,0,2,0,0,0,0,0
Arena Corinthians,Arena Corinthians,,0,2,0,2,2,0,2,0,0,0,0,5
Redes Energéticas Nacionais,Redes Energéticas Nacionais,,0,2,0,2,2,0,2,0,0,0,0,2
Cantareira State Park,Cantareira State Park,,0,2,0,2,2,0,2,0,0,0,0,5
Swiss International Air Lines,Swiss International Air Lines,,0,2,0,2,2,0,2,0,0,0,0,4
Nigerian Stock Exchange,Nigerian Stock Exchange,,0,3,0,3,3,0,3,0,0,0,0,5
Tadawul,Tadawul,,0,3,0,3,3,0,3,0,0,0,0,5
Nasdaq Composite,Nasdaq Composite,,0,3,0,3,3,0,3,0,0,0,0,0
Mauritania Airlines International,Mauritania Airlines International,,0,2,0,2,2,0,2,0,0,0,0,4
Pantanal Linhas Aéreas,Pantanal Linhas Aéreas,,0,2,0,2,2,0,2,0,0,0,0,4
Banorte,Banorte,,0,15,0,15,15,0,15,0,0,0,0,2
Africa,Africa,,0,4,0,4,4,0,4,0,0,0,0,0
Glorinha,Glorinha,,0,2,0,2,2,0,2,0,0,0,0,3
Nickel,Nickel,,0,2,0,2,2,0,2,0,0,0,0,0
Microregion Of Ijuí,Microregion Of Ijuí,,0,2,0,2,2,0,2,0,0,0,0,3
Varig Logística,Varig Logística,,0,2,0,2,2,0,2,0,0,0,0,4
Porto,Porto,,0,3,0,3,3,0,3,0,0,0,0,1
Santa Bárbara Do Sul,Santa Bárbara Do Sul,,0,2,0,2,2,0,2,0,0,0,0,3
Caxias Do Sul,Caxias Do Sul,,0,2,0,2,2,0,2,0,0,0,0,3
Montauri,Montauri,,0,2,0,2,2,0,2,0,0,0,0,3
Capão Do Leão,Capão Do Leão,,0,2,0,2,2,0,2,0,0,0,0,3
The Daily Telegraph,The Daily Telegraph,,0,2,0,2,2,0,2,0,0,0,0,1
Saldanha Marinho,Saldanha Marinho,,0,2,0,2,2,0,2,0,0,0,0,3
"South Region, Brazil","South Region, Brazil",,0,5,0,5,5,0,5,0,0,0,0,0
Lagoa Bonita Do Sul,Lagoa Bonita Do Sul,,0,2,0,2,2,0,2,0,0,0,0,3
Groupe Casino,Groupe Casino,,0,3,0,3,3,0,3,0,0,0,0,1
Foreign Direct Investment,Foreign Direct Investment,,0,3,0,3,3,0,3,0,0,0,0,1
Esteio,Esteio,,0,2,0,2,2,0,2,0,0,0,0,3
Imbé,Imbé,,0,2,0,2,2,0,2,0,0,0,0,3
Iran,Iran,,0,2,0,2,2,0,2,0,0,0,0,1
Kish Air,Kish Air,,0,2,0,2,2,0,2,0,0,0,0,4
São Paulo Fashion Week,São Paulo Fashion Week,,0,3,0,3,3,0,3,0,0,0,0,5
Tulip Mania,Tulip Mania,,0,2,0,2,2,0,2,0,0,0,0,1
Vicente Dutra,Vicente Dutra,,0,2,0,2,2,0,2,0,0,0,0,3
Air Austral,Air Austral,,0,2,0,2,2,0,2,0,0,0,0,4
Mining,Mining,,0,3,0,3,3,0,3,0,0,0,0,2
Texas,Texas,,0,2,0,2,2,0,2,0,0,0,0,2
Rochdale Principles,Rochdale Principles,,0,2,0,2,2,0,2,0,0,0,0,1
Michel Temer,Michel Temer,,0,2,0,2,2,0,2,0,0,0,0,0
Paraná State,Paraná State,,0,2,0,2,2,0,2,0,0,0,0,3
Totalenergies,Totalenergies,,0,2,0,2,2,0,2,0,0,0,0,1
Abu Dhabi Securities Exchange,Abu Dhabi Securities Exchange,,0,3,0,3,3,0,3,0,0,0,0,5
Construction,Construction,,0,2,0,2,2,0,2,0,0,0,0,2
Olympic Air,Olympic Air,,0,2,0,2,2,0,2,0,0,0,0,4
Oceanair,Oceanair,,0,2,0,2,2,0,2,0,0,0,0,4
Nippon Cargo Airlines,Nippon Cargo Airlines,,0,2,0,2,2,0,2,0,0,0,0,4
Taiwan Futures Exchange,Taiwan Futures Exchange,,0,3,0,3,3,0,3,0,0,0,0,5
Scandinavian Airlines,Scandinavian Airlines,,0,2,0,2,2,0,2,0,0,0,0,4
Light S.A.,Light S.A.,,0,2,0,2,2,0,2,0,0,0,0,2
French Company Law,French Company Law,,0,2,0,2,2,0,2,0,0,0,0,1
Energisa,Energisa,,0,53,4,57,53,4,57,1,1,1,0.000026,2
Rally (Stock Market),Rally (Stock Market),,0,3,0,3,3,0,3,0,0,0,0,5
Mate (Drink),Mate (Drink),,0,2,0,2,2,0,2,0,0,0,0,3
Modern Logistics,Modern Logistics,,0,2,0,2,2,0,2,0,0,0,0,4
Lufthansa Cityline,Lufthansa Cityline,,0,2,0,2,2,0,2,0,0,0,0,4
Demographics Of Brazil,Demographics Of Brazil,,0,7,0,7,7,0,7,0,0,0,0,0
Sendas (Supermarket),Sendas (Supermarket),,0,53,5,58,53,5,58,1,1,1,0.00002,2
Dhaka Stock Exchange,Dhaka Stock Exchange,,0,3,0,3,3,0,3,0,0,0,0,5
Food Industry,Food Industry,,0,2,0,2,2,0,2,0,0,0,0,0
Drugs,Drugs,,0,2,0,2,2,0,2,0,0,0,0,2
